iter	Passed	Remaining
477	726	793
478	727	791
479	729	790
480	731	788
481	732	786
482	734	785
483	736	784
484	739	785
485	741	784
486	742	782
487	743	780
488	745	778
489	746	776
490	749	777
491	752	776
492	754	776
493	756	774
494	757	772
495	758	770
496	760	769
497	762	768
498	764	767
499	766	766
500	768	765
501	771	765
502	772	763
503	774	761
504	775	759
505	777	758
506	780	758
507	782	758
508	784	756
509	786	755
510	787	753
511	788	751
512	790	750
513	793	750
514	797	750
515	799	749
516	800	747
517	802	746
518	803	744
519	805	743
520	809	743
521	811	743
522	813	741
523	815	740
524	817	739
525	818	737
526	819	735
527	821	734
528	824	733
529	827	733
530	828	732
531	830	730
532	831	728
533	833	726
534	834	725
535	837	724
536	838	723
537	840	721
538	842	720
539	843	718
540	844	716
541	845	714
542	846	712
543	848	711
544	850	710
545	852	708
546	853	707
547	855	705
548	856	703
549	858	702
550	859	700
551	860	698
552	862	696
553	864	696
554	865	694
555	868	693
556	869	691
557	870	689
558	871	687
559	872	685
560	874	684
561	876	682
562	878	682
563	880	680
564	883	680
565	885	678
566	886	677
567	888	675
568	889	674
569	892	673
570	895	672
571	897	671
572	899	669
573	900	668
574	901	666
575	903	664
576	906	664
577	912	666
578	914	664
579	916	663
580	918	662
581	921	662
582	927	663
583	929	661
584	931	660
585	932	659
586	937	659
587	940	659
588	943	658
589	945	656
590	948	656
591	952	656
592	954	655
593	956	653
594	957	652
595	959	650
596	961	649
597	962	647
598	966	646
599	967	645
600	970	644
601	972	642
602	976	643
603	982	644
604	984	643
605	986	641
606	988	639
607	990	638
608	991	636
609	994	635
610	998	635
611	1000	634
612	1002	632
613	1005	631
614	1009	632
615	1013	631
616	1016	630
617	1018	629
618	1020	628
619	1026	629
620	1030	628
621	1032	627
622	1035	626
623	1037	624
624	1044	626
625	1047	626
626	1049	624
627	1052	623
628	1056	623
629	1059	622
630	1060	620
631	1062	618
632	1064	616
633	1065	615
634	1067	613
635	1070	612
636	1072	611
637	1074	609
638	1076	608
639	1080	607
640	1085	607
641	1086	605
642	1088	604
643	1090	602
644	1092	601
645	1093	599
646	1094	597
647	1096	595
648	1099	594
649	1101	593
650	1103	591
651	1105	589
652	1106	588
653	1108	586
654	1109	584
655	1111	582
656	1113	581
657	1115	579
658	1117	578
659	1119	576
660	1120	574
661	1122	572
662	1123	571
663	1124	569
664	1127	567
665	1128	566
666	1131	564
667	1133	563
668	1137	563
669	1143	563
670	1145	561
671	1147	560
672	1149	558
673	1150	556
674	1152	554
675	1153	552
676	1157	552
677	1160	551
678	1161	549
679	1163	547
680	1164	545
681	1165	543
682	1167	541
683	1168	539
684	1171	538
685	1176	538
686	1177	536
687	1179	534
688	1181	533
689	1184	531
690	1190	532
691	1193	531
692	1195	529
693	1197	527
694	1202	527
695	1204	526
696	1205	524
697	1207	522
698	1208	520
699	1210	518
700	1211	516
701	1215	515
702	1217	514
703	1219	512
704	1220	510
705	1222	508
706	1224	507
707	1225	505
708	1227	503
709	1229	502
710	1233	501
711	1235	499
712	1237	498
713	1238	496
714	1240	494
715	1242	492
716	1245	491
717	1248	490
718	1249	488
719	1251	486
720	1252	484
721	1254	482
722	1255	481
723	1257	479
724	1259	477
725	1261	476
726	1263	474
727	1264	472
728	1266	470
729	1267	468
730	1269	466
731	1270	465
732	1271	463
733	1276	462
734	1277	460
735	1278	458
736	1280	456
737	1281	454
738	1282	453
739	1284	451
740	1285	449
741	1288	448
742	1290	446
743	1292	444
744	1293	442
745	1295	441
746	1297	439
747	1299	437
748	1301	436
749	1304	434
750	1305	433
751	1307	431
752	1308	429
753	1310	427
754	1311	425
755	1313	423
756	1314	421
757	1315	420
758	1318	418
759	1320	417
760	1322	415
761	1323	413
762	1324	411
763	1326	409
764	1327	407
765	1328	405
766	1331	404
767	1333	402
768	1335	401
769	1336	399
770	1337	397
771	1339	395
772	1340	393
773	1341	391
774	1342	389
775	1344	387
776	1345	386
777	1347	384
778	1349	382
779	1350	380
780	1351	378
781	1352	377
782	1353	375
783	1354	373
784	1356	371
785	1357	369
786	1359	368
787	1362	366
788	1364	365
789	1366	363
790	1367	361
791	1369	359
792	1371	357
793	1372	356
794	1373	354
795	1375	352
796	1376	350
797	1378	348
798	1379	347
799	1381	345
800	1382	343
801	1383	341
802	1385	339
803	1386	338
804	1388	336
805	1390	334
806	1392	332
807	1393	331
808	1395	329
809	1396	327
810	1398	325
811	1399	324
812	1401	322
813	1403	320
814	1406	319
815	1408	317
816	1410	315
817	1411	313
818	1412	312
819	1414	310
820	1416	308
821	1418	307
822	1421	305
823	1422	303
824	1424	302
825	1426	300
826	1428	298
827	1429	297
828	1431	295
829	1434	293
830	1437	292
831	1439	290
832	1441	288
833	1442	287
834	1444	285
835	1445	283
836	1450	282
837	1452	280
838	1453	278
839	1455	277
840	1456	275
841	1458	273
842	1459	271
843	1462	270
844	1464	268
845	1465	266
846	1467	265
847	1468	263
848	1470	261
849	1471	259
850	1472	257
851	1474	256
852	1477	254
853	1479	252
854	1480	251
855	1482	249
856	1483	247
857	1485	245
858	1487	244
859	1488	242
860	1491	240
861	1493	239
862	1494	237
863	1496	235
864	1498	233
865	1500	232
866	1501	230
867	1502	228
868	1505	226
869	1507	225
870	1509	223
871	1510	221
872	1512	220
873	1515	218
874	1517	216
875	1520	215
876	1522	213
877	1524	211
878	1525	210
879	1529	208
880	1531	206
881	1534	205
882	1536	203
883	1539	201
884	1541	200
885	1543	198
886	1545	196
887	1548	195
888	1550	193
889	1553	192
890	1555	190
891	1557	188
892	1558	186
893	1560	185
